,producto,precio_prom_por_gramo
0,aceite,55.41775520201516
1,acelga,0.07743875000000001
2,agua con gas,44.00851678997507
3,agua sin gas,2.1983340741343236
4,aguacate,0.051092861635220116
5,ajo,0.12752301282051284
6,ajonjoli,0.1358547815820543
7,alcachofa,0.3456216363636363
8,alimento preparado para niños,0.1145202278623515
9,alimentos prepados,0.2159590909090909
10,almeja,0.056175
11,amaranto,0.07355762711864408
12,apio,0.02624454545454545
13,arroz,0.027309068570698376
14,atun,0.14285037600789596
15,avena,0.06901631398082836
16,azucar,0.029601626661372244
17,bagre,0.08533478260869566
18,bandera,0.07962999999999999
19,barras de avena,0.193261815920398
20,barras de cereal,0.3544087315880268
21,barrita de surimi o barrita de surimi cangre,0.126
22,basa,0.1214829411764706
23,bebida varias,0.04764525423728813
24,bebidas hidratantes,24.743426446867424
25,betabel,0.022550257352941177
26,blanco del nilo,0.26165306122448984
27,brocoli,0.03918637795275591
28,cacahuates,0.20230358516879873
29,cafe soluble,0.6155751109651074
30,cafe tostado y molido,0.2400616436936868
31,cajeta,0.17027660645166637
32,calabaza,0.033166208053691276
33,calamar,0.18811111111111112
34,camarón,0.3212025
35,carne cerdo,0.10250226067976301
36,carne pollo,0.0859483094555874
37,carne res,0.17564226031553398
38,carne ternera,0.2631857142857143
39,carpa,0.0799
40,cazon,0.15772727272727274
41,cebolla,0.05131595622119816
42,cereales,0.1126678700516419
43,champiñones,0.09472095744680849
44,charal,0.11523809523809521
45,chayote,0.023689280821917808
46,chicharo,0.04081875
47,chicharos,0.06525697986577182
48,chicharos en lata,0.04516624074280133
49,chile fresco,0.07501027827116638
50,chile seco,0.2504211403508772
51,chiles,0.07360890428686165
52,chocolate,0.5064665094380763
53,chocolate en tablillas,0.1360481089555164
54,chorizo,0.2244377130044843
55,chía,0.17516122514672416
56,cilantro,0.06753085106382979
57,ciruela,0.08593038461538462
58,clavo,0.29887755102040814
59,coctel de frutas en almibar,0.07681264966163456
60,col,0.026111349693251528
61,coliflor,0.41987309236947784
62,combinado primavera,0.0852508064516129
63,concentrado de pollo,0.782101494552202
64,corn flakes,0.09645608154742182
65,crema,40.91979434697607
66,crema batida,0.04439645833333333
67,crema de cacahuate,0.2120063839489284
68,curvina,0.08995
69,durazno,0.09083076923076923
70,duraznos en almibar,0.0678929889298893
71,ejote,0.04908780303030303
72,elote,0.05702096119085592
73,espinacas,0.08116339622641511
74,flan,3.8026624167313985
75,floretes de brocoli,0.0911976699029126
76,formula lactea,0.4058951086956522
77,fresa,0.18444085651640418
78,frijol,0.03874755481393157
79,frijoles,0.02822437519772224
80,galletas dulces,0.15051086774630335
81,galletas populares,0.08347735770533113
82,galletas saladas,0.11244461291698689
83,garbanza,0.06748884999999999
84,gelatina en polvo,0.23001120668162553
85,granada,0.09969297297297297
86,granos de elote,0.10420283464566929
87,grasa comestible,0.07580076233183854
88,guanabana,0.06667333333333336
89,guarnicion de verduras,0.060521142857142864
90,guayaba,0.036516719367588935
91,haba,0.11073297297297297
92,harina de arroz,0.05538714539007092
93,harina de maiz,0.05083281934531135
94,harina de trigo,0.024349998012889958
95,harina hot cakes,0.07726350509495136
96,helado,0.05861839653304442
97,huachinango,0.2947
98,huevo,0.5164478276353277
99,jaiba,0.17266666666666666
100,jaibon,0.105
101,jamon,0.19640963133603567
102,jarabe p/preparar bebidas,69.73272032693673
103,jitomate,0.034467569620253165
104,jugo de fruta,12.36531483656634
105,jurel,0.054966666666666664
106,kiwi,0.09157359999999999
107,leche condensada,0.0903372540377888
108,leche en polvo,0.18199960888410166
109,leche evaporada,0.06037522247648106
110,leche pasteurizada,0.02410312957090291
111,leche ultrapasteurizada,3.3682613151722296
112,lechuga,0.23241157024793388
113,lenteja,0.057399144498259794
114,limon,0.03157335869565217
115,lisa,0.062416666666666676
116,maiz pozolero,0.03375994897959184
117,mamey,0.044398620689655166
118,mandarina,0.2899377049180328
119,mango,0.05586178343949046
120,manteca de cerdo,0.22243363636363636
121,mantequilla,0.2535520999468368
122,manzana,0.04994746527777778
123,margarina,0.2010141211264172
124,mayonesa,0.11411484250264788
125,melon,0.029274022662889518
126,mermelada,0.09101388655118889
127,mezcla california,0.08069313868613139
128,mezcla campesina,0.08855031746031745
129,miel de abeja,0.16234509554140128
130,mojarra,0.12944944186046511
131,mole rojo en pasta,0.1456335121106403
132,mortadela,0.10845231292517007
133,mostaza,0.09155842995975934
134,naranja,0.02415112627986348
135,nopal,0.03317689361702127
136,nuez,0.3269304494382022
137,pampano,0.174
138,pan blanco bolillo,0.0201085
139,pan de caja,0.09390427268422684
140,pan dulce. bisquet,0.10158077709611454
141,pan dulce. concha,0.09889388888888888
142,pan dulce. cuerno,0.09945497076023392
143,pan dulce. dona (cubierta de chocolate),0.11145354574933032
144,papa,0.034823806343906506
145,papas fritas y similares,0.24555163291902182
146,papaya,0.028906424050632908
147,pargo,0.369
148,pasa (uva pasa),0.08136148648648649
149,pasta para sopa,0.04592335670277089
150,pastel pimiento,0.13591707446808513
151,pastelillos y pan dulce empaquetado,17.215823561460248
152,pechuga de pavo,0.2781591596638656
153,pepino,0.025204935483870965
154,pera,0.05455022875816995
155,peron,0.036014736842105245
156,piloncillo,0.03389830508474576
157,pimienta,0.7412585395197296
158,pimiento,0.07064535460992909
159,piña,0.02511098181818182
160,piña en almibar,0.07321552152317881
161,platano,0.021424826388888887
162,pollo rostizado. tradicional,1.2161781456953642
163,polvo p/hornear,0.12728506033326953
164,polvo p/preparar bebidas,0.4124801411060071
