codigomex2,nombre,serving_size,kcal,carbohydrate,total_fat,protein,fiber,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,folate_dfe,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole,sugars
13070,"CEREAL, CUADRITOS AVENA (QUAKER)",100 g,368,69.6,4.9,11.4,8.4,211.66,29.3,0,29.3,7.2,11.5,0.68,0.85,9.57,,0.88,723.3,19,1248.61,0,356,4.86,0,1.6,0.9,1.6,1.6,0,0
13071,"CEREAL, EXTRA (KELLOG'S, TODOS SABORES)",100 g,387.77,81.11,4.99,6.66,3.33,52,12.26,0,12.26,3.11,0.3,0.53,0.6,7.94,1.09,0.21,316.67,19,557.33,0,,0.67,261.33,,1.55,1.66,0.66,0,0
13072,"CEREAL, EXTRA AVENA SABOR FRESA (KELLOGG'S)",100 g,400,80,5,6.66,3.33,0,14.17,0,14.17,3.33,50,0.67,0.7,9.17,4.6,0.77,,19,19,0,284,3.67,28,2.9,0.66,3,1.3,0,0
13073,"CEREAL, EXTRA SABOR CHOCOLATE (KELLOGG'S)",100 g,410,76.67,8.33,6.67,3.33,0.2,14.17,0,14.17,3.33,50,0.67,0.7,9.17,4.6,0.77,,19,19,0,284,3.67,28,2.9,4.04,3,1.11,0,0
13074,"CEREAL, FIBRA MAX (NESTLE)",100 g,207,84.3,2.29,6.59,46.2,333,15,0,15,12.5,20,1.29,1.39,16.7,0.82,1.66,314,19,552.8,5,1,0.3,0,0.6,0.4,0.5,1.29,0,0
13075,"CEREAL, FIBRA UNO (MAIZORO)",100 g,345,69.2,1.3,14.1,26,101,13.5,0,13.5,6.7,,,,,,,,,,,,,,,,,,,0
13076,"CEREAL, FITNESS (NESTLE, TODOS SABORES)",100 g,352.22,72.29,3.5,8.26,8.75,337.5,11.22,0,11.22,1.5,0,0.29,0.1,4.2,5.06,0.2,194.33,1,331.37,0,0,0.67,,,1.3,0.4,0.6,0,0
13077,"CEREAL, FROOT LOOPS (KELLOGG'S)",100 g,390,83.33,3.33,6.6,1.66,10,15.5,0,15.5,5.2,52,1.29,1.47,17.2,0.35,1.72,316.67,19,557.33,5.2,501,0.15,261.33,0.3,1.66,0.66,1,0,0
13078,"CEREAL, FROOT LOOPS POPS (FRUTIBOLITAS) (KELLOGG'S)",100 g,400,83.33,3.33,6.67,1.67,300,14.17,0,14.17,3.33,200,0.67,0.7,9.17,0.22,0.77,,19,19,0,284,3.67,132,0.6,1.667,0.667,1,0,0
13079,"CEREAL, FROSTED MINI WHEATS",100 g,350,83.4,1.6,9.2,10.8,28,28,0,28,2.7,0,0.65,0.73,8.6,0.52,0.86,326,19,573.2,2.6,0,0.67,0,1.6,0.4,0.2,0.9,0,0
